,Name,Cuisines,City,Rating,NumberOfReviews
75,Mashi No Mashi ,"Japanese, Chinese",Jeddah,4.9,14
76,Fish Eater ,Arabic,Jeddah,4.5,11
77,Starbucks ,American,Jeddah,4.9,9
78,Mavi Restaurant ,International,Jeddah,4.5,43
79,Maiz Restaurant ,"Arabic, Saudi",Riyadh,4.9,28
80,Jar Restaurant ,International,Riyadh,4.5,48
81,Wildfire Brazilian Steakhouse ,Brazilian,Riyadh,4.9,54
82,Koi Japanese Peruvian Restaurant,Japanese,Riyadh,4.5,51
83,A1 Cafe and Restaurant ,Turkish,Makkah,4.9,13
84,F6or Faris Breakfast Restaurant ,"American, Arabic, International",Makkah,4.5,19
85,Century burger Restaurant ,American,Makkah,4.9,45
86,Voi Lounge and Restaurant ,"American, International, Italian",Makkah,4.5,32
87,Moma’s Restaurant ,"Breakfast, Coffee & Tea, Desserts",Dammam,4.8,53
88,Amaly Indian Restaurant ,Indian,Riyadh,4.5,29
89,Outback Steakhouse ,"Barbeque & Grill, Steakhouse",Riyadh,4.8,41
90,IL Cafe ,Italian,Jeddah,4.5,12
91,Indah Asia Kitchen ,"International, Indonesian",Jeddah,4.8,26
92,Meer Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,17
93,El Farouki Coffee ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.8,16
94,La Gondola Italian Restaurant ,"Italian, Vegetarian",Al Khobar,4.5,32
95,Come to Momma ,"American, International, Italian",Dammam,4.8,38
96,Elk Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,32
97,It Caffè ,International,Jeddah,4.8,49
98,3As Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,19
99,Azure Restaurant ,Spanish,Riyadh,4.8,32
100,Al Bustan Coffee ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,12
101,La Gita Restaurant ,"Mediterranean, International",Riyadh,4.8,48
102,The Butcher Shop & Grill ,"Barbeque & Grill, Fine Dining, Steakhouse",Riyadh,4.5,53
103,Chef Ahmed Cafe ,International,Riyadh,4.8,33
104,Cone and Co ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,10
105,Rasoi by Vineet ,Indian,Jeddah,4.8,27
107,ROKA Riyadh ,Japanese,Riyadh,4.8,29
108,Rusafa Restaurant ,"Arabic, Lebanese, Middle Eastern",Madinah,4.5,17
109,Memaz Restaurant and Cafe ,"Lebanese, Mediterranean, Middle Eastern",Madinah,4.8,22
110,Shrimp Shack ,"Seafood, Takeout",Riyadh,4.5,33
111,Takya Restaurant ,"Arabic, Saudi",Riyadh,4.8,30
112,The Quarter Restaurant,"International, Arabic, Asian",Jeddah,4.5,11
113,Ruya ,Turkish,Riyadh,4.8,25
114,Taim Cafe ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.5,17
115,Lena Lu ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.8,16
116,Gymkhana ,Indian,Riyadh,4.5,26
117,Hustle N Flow ,International,Riyadh,4.8,26
118,Al Mamlaka Social Dining ,"Asian, International, Italian",Riyadh,4.5,30
